Title,RQ1 Year,RQ2 Venue,RQ3 VenueType,RQ3 PaperType,RQ4 MDETask,RQ4 SubCategoryOfModelGeneration,RQ5 SEActivity,RQ5 SETask,RQ6 ModelingLanguage,RQ6 ModelType,RQ7 ApplicationDomain,RQ8 FoundationLLMFamiliy,RQ9 Prompt-engineering,RQ10 EnhancementTechnique,RQ10 EnhancedLLM,RQ11 Integration,RQ12 InteractionPattern,RQ13 EffectivenessMetric,RQ13 TimeCostMetric,RQ13 ResourceCostMetric,RQ14 Baseline,RQ15 EvaluationSubjectType,RQ15 SourceCodeLink,RQ15 PromptLink,RQ15 EnhancedLLMLink,RQ15 EvaluationSubjectLink
DiaVio: LLM-Empowered Diagnosis of Safety Violations in ADS Simulation Testing,2024,International Symposium on Software Testing and Analysis,Conference,Proposed method,Model comprehension,N/A,Software Testing,Test Incident Reporting,DSL,DSM,ADS,[Baichuan; ChatGLM; Qwen; LLaMA],Unspecified,Fine-tuning,LLaMA,No,No,No,No,No,No,Open,https://diavio.github.io/diavio/,No,No,No
Text2VQL: Teaching a Model Query Language to Open-Source Language Models with ChatGPT,2024,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model query generation,N/A,Software Engineering Models and Methods,N/A,DSL,DSM,General,[DeepSeek; LLaMA],Few-shot,Fine-tuning,[DeepSeek; LLaMA],No,No,% of correct models[Sem; Correctness; True; Quant; obj]; % of acceptable models[Sem; Correctness; True; Quant; obj]; % of incorrect models[Sem; Correctness; True; Quant; obj]; Pass@k[Sem; Correctness; True; Quant; obj],No,No,LLM-based,Open,https://zenodo.org/records/12742459,No,https://huggingface.co/PELAB-LiU,https://huggingface.co/PELAB-LiU
ModelMate: A recommender for textual modeling languages based on pre-trained language models,2024,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,DSL,DSM,General,[GPT; CodeParrot; CodeGen],Unspecified,Fine-tuning,[GPT; CodeParrot; CodeGen],Eclipse Modeling Framework,No,BLEU[Syn; Correctness; True; Quant; obj]; Levenshtein distance[Syn; Correctness; True; Quant; obj]; EM (Exact match)[Syn; Correctness; True; Quant; obj]; MRR@k[Sem; Correctness; True; Quant; obj]; Accuracy[Sem; Correctness; True; Quant; obj]; Success rate@k[Sem; Correctness; True; Quant; obj],Inference/generation time,No,[Traditional ML; LLM-based],Open,https://github.com/models-lab/model-mate,No,No,https://github.com/models-lab/model-mate
Toward Intelligent Generation of Tailored Graphical Concrete Syntax,2024,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model generation,DSL development,Software Engineering Models and Methods,N/A,DSL,DSM,General,GPT,Prompt Chaining+Iterative(Human),No,N/A,PlantUML,Feedback-based refinement,No,No,No,No,Closed,No,No,N/A,No
Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,2024,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Sequence,General,GPT,Zero-shot,No,N/A,PlantUML,No,Rating[Sem; Correctness; True; Qual; subj],No,No,No,Open,https://github.com/Jahan2021/From_User_Stories_to_SD,No,N/A,https://github.com/Jahan2021/From_User_Stories_to_SD
AI-Driven Consistency of SysML Diagrams,2024,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model generation; Model analysis,Standard language每based modeling,Software Requirements,Requirement Specification,SysML v1,Use Case; Block Definition,General,GPT,Zero-shot+Iterative(Tool)+Iterative(Human); Zero-shot,No,N/A,TTool,Feedback-based refinement,# of inconsistencies[Sem; Consistency; True; Quant; obj]; # of inconsistencies[Sem; Consistency; True; Quant; obj],No,No,No,Open,https://gitlab.telecom-paris.fr/mbe-tools/TTool/-/tree/master,No,N/A,https://zenodo.org/records/12794339
XPERT: Empowering Incident Management with Query Recommendations via Large Language Models,2024,International Conference on Software Engineering,Conference,Proposed method,Model generation,Domain-specific modeling,Software Engineering Models and Methods,N/A,DSL,DSM,Cloud computing,GPT,Few-shot+Iterative(Tool),RAG,GPT,No,No,SacreBLEU[Syn; Correctness; True; Quant; obj]; METEOR[Sem; Correctness+Completeness; True; Quant; obj]; Validity[Syn; Correctness; False; Quant; obj]; XCORE[Sem+Syn; Correctness; True; Quant; obj]; # of correct elements[Sem; Correctness; True; Quant; obj]; # of correct models[Sem; Correctness; True; Quant; obj],No,No,LLM-based,Industrial - closed,No,No,N/A,No
How LLMs Aid in UML Modeling: An Exploratory Study with Novice Analysts,2024,IEEE International Conference on Software Services Engineering,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case; Class; Sequence,Education,Unspecified,Unspecified,No,N/A,PlantUML,No,Rating[Sem; Correctness+Completeness; True; Qual; subj],No,No,No,Open,No,No,N/A,https://zenodo.org/records/10532601
Accelerating Model-Based Systems Engineering by Harnessing Generative AI,2024,Annual System of Systems Engineering Conference,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Activity,General,GPT,Chain-of-thought,No,N/A,No,No,Rating[Sem; Correctness; True; Qual; subj]; # of covered elements[Sem; Completeness; True; Quant; obj]; Rating[Sem; Consistency; True; Qual; subj]; Rating[Sem; Traceability; True; Qual; subj]; Simplicity rating[Sem; Human-centric; True; Qual; subj],Total task duration,No,No,Industrial - open,No,No,N/A,No
Model Generation with LLMs: From Requirements to UML Sequence Diagrams,2024,International Requirements Engineering Conference Workshops,Workshop,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Sequence,General,GPT,Zero-shot,No,N/A,PlantUML,No,Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Completeness; True; Qual; subj]; Understandability rating[Sem; Human-centric; True; Qual; subj]; Terminological alignment rating[Sem; Human-centric; True; Qual; subj]; Rating[Syn; Correctness; False; Qual; subj],No,No,No,Industrial - open; Industrial - closed,No,No,N/A,No
Requirements-Driven Slicing of Simulink Models using LLMs,2024,International Requirements Engineering Conference Workshops,Workshop,Proposed method,Model slicing,N/A,Software Engineering Models and Methods,N/A,Simulink,Simulink,General,GPT,[Zero-shot; Few-shot; Chain-of-thought],No,N/A,Simulink,No,Accuracy[Sem; Correctness; True; Quant; obj]; Size[Sem; Complexity; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Deriving Domain Models From User Stories: Human vs. Machines,2024,International Requirements Engineering Conference,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Zero-shot+Role+Prompt Chaining,No,N/A,No,No,F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,Rule-based,Open,No,https://zenodo.org/records/12740518,N/A,https://zenodo.org/records/12740518
Generative AI for OCL Constraint Generation: Dataset Collection and LLM Fine-tuning,2024,International Symposium on Systems Engineering,Conference,Proposed method,Model constraint generation,N/A,Software Design,Model-Based Design,UML; OCL,Class,General,LLaMA,One-shot,[Fine-tuning; RAG],LLaMA,PlantUML,No,% of correct outputs[Syn; Correctness; False; Quant; obj]; Cosine similarity[Sem; Correctness; True; Quant; obj]; Euclidean distance[Sem; Correctness; True; Quant; obj],No,No,LLM-based,Open,No,No,No,https://huggingface.co/datasets/fpan/text-to-ocl-from-ecore
Teaching UML using a RAG-based LLM,2024,International Joint Conference on Neural Network,Conference,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,UML,Class,Education,LLaMA,Unspecified,RAG,LLaMA,Visual Paradigm,No,No,No,No,No,Open,No,No,N/A,No
A new approach for automatic test case generation from use case diagram using LLMs and prompt engineering,2024,"International Conference on Circuit, Systems and Communication",Conference,Proposed method,Model-based test generation,N/A,Software Testing,Test Design and Implementation,UML,Use Case,General,Unspecified,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Automated BPMN Diagram Generation,2024,International Conference on Advancements in Computing,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Unspecified,Fine-tuning,GPT,ProcessPiper,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Unspecified,No,No,No,No
ChatGPT's Aptitude in Utilizing UML Diagrams for Software Engineering Exercise Generation,2024,International Conference on Software Engineering Education and Training,Conference,Benchmarking and evaluation,"Model comprehension; 
Model visulization",N/A,Software Engineering Models and Methods,N/A,UML,Class; Sequence,Education,GPT,Zero-shot,No,N/A,[Mermaid.js; Draw.io],No,No,No,No,No,Open,No,https://zenodo.org/records/10606441,N/A,https://zenodo.org/records/10606441
Generating Java code pairing with ChatGPT,2024,Theoretical Computer Science,Journal,Proposed method,Model generation; Model-based code generation,Standard language每based modeling,Software Requirements; Software Design; Software Construction; Software Configuration Management,Requirement Decomposition; Model-based Design; Coding; Software Configuration Identification,UML,Class; Activity,General,GPT,Zero-shot+Prompt Chaining+Role+Iterative(Human),No,N/A,PlantUML,Feedback-based refinement,No,No,No,No,Closed,No,No,N/A,No
LLM-Driven Testing for Autonomous Driving Scenarios,2024,International Conference on Foundation and Large Language Models,Conference,Proposed method,Model constraint generation; Model generation; Model-based test generation,Standard language每based modeling,Software Testing,Test Design and Implementation,Ecore; OCL,DSM,ADS,[GPT; LLaMA],Zero-shot+Prompt Chaining+Iterative(Tool),No,N/A,Eclipse Modeling Framework,No,Error rate[Syn; Correctness; False; Quant; obj],Inference/generation time,Token consumption,No,Closed,No,No,N/A,No
Automating Software Documentation: Employing LLMs for Precise Use Case Description,2024,Procedia Computer Science,Journal,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,UML,Use Case,General,Gemini,Zero-shot,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
A Method for Extracting BPMN Models from Textual Descriptions Using Natural Language Processing,2024,Procedia Computer Science,Journal,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,[GPT; BERT; BART],Unspecified,No,N/A,Graphviz,No,Graph edit distance[Sem; Correctness; True; Quant; obj],No,No,No,Open,No,No,N/A,Appendix
Conversing with business process-aware large language models: the BPLLM framework,2024,Journal of Intelligent Information Systems,Journal,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,LLaMA,Zero-shot,[Fine-tuning; RAG],LLaMA,No,No,No,No,No,No,Open,No,https://zenodo.org/records/13342040,https://huggingface.co/angeloc1,https://zenodo.org/records/13342040
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,2024,Software and Systems Modeling,Journal,Proposed method,Model element extraction,N/A,Software Engineering Models and Methods,N/A,DSL,DSM,Crisis management,GPT,Zero-shot,No,N/A,R-IOSUITE,Unspecified,No,No,No,No,Closed,No,No,N/A,No
Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,2024,Software and Systems Modeling,Journal,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Class,General,GPT,Unspecified,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,Rule-based,Open,No,No,N/A,https://ieee-dataport.org/documents/dataset-text-requirements-models
Generative AI for BPMN Process Analysis: Experiments with Multi-modal Process Representations,2024,International Conference on Business Informatics Research,Conference,Benchmarking and evaluation,Model comprehension,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,GPT,Unspecified,No,N/A,[Bee-Up 1.7; SAP Signavio],No,No,No,No,No,Closed,No,No,N/A,No
LLM4PM: A Case Study on Using Large Language Models for Process Modeling in Enterprise Organizations,2024,"Business Process Management: Blockchain, Robotic Process Automation, Central and Eastern European, Educators and Industry Forum",Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Few-shot,RAG,GPT,BPMN Sketch Miner,No,No,No,No,No,Closed,No,No,N/A,No
Automating Test Case Generation from Class Diagram Using Generative AI,2024,"International Conference on Smart Medical, IoT &amp; Artificial Intelligence",Conference,Proposed method,Model-based test generation,N/A,Software Testing,Test Design and Implementation,UML,Class,General,Gemini,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
A Systematic Approach to?Derive Conceptual Models from?BPMN Models,2024,International Symposium on Business Modeling and Software Design,Conference,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,BPMN; UML,Process; Class,General,GPT,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Retrieval Augmented Generation with LLMs for Explaining Business Process Models,2024,International Conference on Case-Based Reasoning,Conference,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,GPT,[One-shot+Role; Few-shot+Role],RAG,GPT,No,No,No,No,No,LLM-based,Open,https://github.com/hoerb1337/LLMmodel2text/tree/main,https://github.com/hoerb1337/LLMmodel2text/tree/main,N/A,https://github.com/hoerb1337/LLMmodel2text/tree/main
Process Modeling with?Large Language Models,2024,"Enterprise, Business-Process and Information Systems Modeling (BPMDS, EMMSAD)",Conference,Proposed method,Model generation,Standard language每based modeling; Formal process modeling,Unspecified context,N/A,BPMN; Petri Net,Process,General,[GPT; Gemini],Role+Few-shot+Negative+Iterative(Human),No,N/A,No,Feedback-based refinement,No,No,No,LLM-based,Open,No,No,N/A,https://github.com/humam-kourani/LLM-Process-Modeling
Exploring ChatGPT Prompt Engineering for Business Process Models Semantic Quality Improvement,2024,World Conference on Information Systems and Technologies,Conference,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,GPT,[Zero-shot+Iterative(Human); Few-shot+Iterative(Human); Few-shot+Chain-of-thought+Iterative(Human)],No,N/A,\cite{si2013improving},Feedback-based refinement,Richness[Sem; Completeness; True; Quant; obj],No,No,No,Open,No,No,N/A,https://github.com/fgs-fgs/BusinessModelPrompt
Generative AI with?Modeling and?Simulation of?Activity and?Flow-Based Diagrams,2024,International Conference on Simulation Tools and Techniques,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,SysML v1; UML; Ecore,Activity; DSM,General,[GPT; PaLM],Unspecified,No,N/A,[Eclipse Modeling Framework; Eclipse Sirius Editor],No,No,No,No,No,Closed,No,No,N/A,No
Comparing the Performance of GPT-3 with BERT for Decision Requirements Modeling,2024,International Conference on Cooperative Information Systems,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,DMN,Decison,General,GPT,Few-shot,No,N/A,Graphviz,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,Deep learning,Open,No,https://github.com/Goossens496/COOPIS_Comparing-the-performance-of-GPT-3-with-BERT-for-decision-requirements-modeling,N/A,No
From image to UML: First results of image-based UML diagram generation using LLMs,2024,Large Language Models for Model-Driven Engineering Workshop,Workshop,Benchmarking and evaluation,Model recognition,N/A,Software Engineering Models and Methods,N/A,UML,Class,General,[GPT; Gemini; CogVLM],Zero-shot,No,N/A,PlantUML,No,# of syntactic errors[Syn; Correctness; False; Quant; obj],No,No,No,Closed,No,No,N/A,No
Introducing the BPMN-Chatbot for Efficient LLM-Based Process Modeling,2024,International Conference on Business Process Management: Demo & Resources,Conference,Tool demo,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot+Iterative(Human)+Role,No,N/A,bpmn.js,Feedback-based refinement,Rating[Sem; Correctness; True; Qual; subj],No,Token consumption,LLM-based,Open,No,https://github.com/BPMN-Chatbot/bpmn-chatbot-archive,N/A,https://github.com/BPMN-Chatbot/bpmn-chatbot-archive
LARGE LANGUAGE MODEL IN AIRCRAFT SYSTEM DESIGN,2024,Congress of the International Council of the Aeronautical Sciences Florence,Conference,Proposed method,Model generation,Standard language每based modeling,Software Architecture,Architecture Synthesis,UML,Component,Aircraft ,GPT,Few-shot,No,N/A,PlantUML,No,No,No,No,No,Closed,No,Appendix,N/A,No
ChatGPT in the Loop: A Natural Language Extension for Domain-Specific Modeling Languages,2024,International Conference on Bridging the Gap between AI and Reality,Conference,Proposed method,Model-based code completion,N/A,Software Construction,Coding,DSL,DSM,General,GPT,Zero-shot,No,N/A,Malva~\cite{bainczyk2023simplicity},No,No,No,No,No,Closed,No,No,N/A,No
Toward a New Era of Rapid Development: Assessing GPT-4-Vision's Capabilities in UML-Based Code Generation,2024,International Workshop on Large Language Models for Code,Workshop,Benchmarking and evaluation,Model-based code generation,N/A,Software Construction,Coding,UML,Class,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Open,No,No,N/A,https://zenodo.org/records/10301347
Toward Intelligent Generation of System Architectures,2024,NordDesign Conference,Conference,Proposed method,Model generation,Standard language每based modeling,Software Architecture,Architecture Synthesis,SysML v1,Block Definition,General,GPT,Zero-shot,No,N/A,Cameo Systems Modeler,No,Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Complexity; True; Qual; subj]; Rating[Sem; Traceability; True; Qual; subj],No,No,No,Closed,No,No,N/A,No
Towards Automated Design: Automatically Generating Modeling Elements with Prompt Engineering and Generative Artificial Intelligence,2024,NordDesign Conference,Conference,Proposed method,Model element extraction,N/A,Software Engineering Models and Methods,N/A,Unspecified,Unspecified,General,GPT,One-shot,No,N/A,No,No,# of specific elements[Sem; Complexity; False; Quant; obj],No,No,No,Unspecified,No,No,N/A,No
PathOCL: Path-Based Prompt Augmentation for OCL Generation with GPT-4,2024,International Conference on AI Foundation Models and Software Engineering,Conference,Proposed method,Model constraint generation,N/A,Unspecified context,N/A,UML; OCL,Class,General,GPT,Zero-shot,No,N/A,No,No,Validity@k[Syn; Correctness; False; Quant; obj]; % of correct models[Sem; Correctness; True; Quant; obj],No,No,LLM-based,Open,No,https://zenodo.org/records/10841786,N/A,https://zenodo.org/records/10841786
System Architects Are not Alone Anymore: Automatic System Modeling with AI,2024,International Conference on Model-Based Software and Systems Engineering,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,SysML v1,Block Definition; Internal Block; State Machine,General,GPT,Prompt Chaining+Iterative(Human)+Role; Iterative(Human)+Role,No,N/A,TTool,Feedback-based refinement; Manual editing,Rating[Sem; Correctness; True; Qual; subj],Total task duration,No,No,Open,No,No,N/A,https://github.com/zebradile/ttool-ai
Towards standarized benchmarks of LLMs in software modeling tasks: a conceptual framework,2024,Software and Systems Modeling,Journal,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Unspecified,No,N/A,PlantUML,No,No,No,No,No,No,No,No,N/A,No
Automated Domain Modeling with Large Language Models: A Comparative Study,2023,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,[Zero-shot; One-shot; Few-shot; Chain-of-thought],No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://zenodo.org/records/8118642,https://zenodo.org/records/8118642,N/A,https://zenodo.org/records/8118642
Extracting Domain Models from Textual Requirements in the Era of Large Language Models,2023,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,Domain-specific modeling,Unspecified context,N/A,DSL,DSM,General,GPT,One-shot+Prompt Chaining+Role,No,N/A,No,No,F-measure[Sem; Correctness+Completeness; True; Quant; obj],Total task duration,Monetary cost,Rule-based,Closed,No,No,N/A,No
Agile Methodology for the Standardization of Engineering Requirements Using Large Language Models,2023,Systems,Journal,Proposed method,N/A,N/A,Software Requirements,Requirement Specification,N/A,N/A,Aerospace,BERT,Unspecified,Fine-tuning,BERT,No,No,No,No,No,No,Open,No,No,No,https://huggingface.co/datasets/archanatikayatray/aeroBERT-classification
ECHO: An Approach to Enhance Use Case Quality Exploiting Large Language Models,2023,Euromicro Conference on Software Engineering and Advanced Applications,Conference,Proposed method,Model analysis,N/A,Software Engineering Models and Methods,N/A,UML,Use Case,General,GPT,Zero-shot+Role,No,N/A,No,No,Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Completeness; True; Qual; subj]; Clarity rating[Sem; Human-centric; True; Qual; subj],Total task duration,No,No,Industrial - open,No,https://github.com/gadevito/FGG,N/A,https://github.com/gadevito/FGG
On Codex Prompt Engineering for OCL Generation: An Empirical Study,2023,International Conference on Mining Software Repositories,Conference,Benchmarking and evaluation,Model constraint generation,N/A,Unspecified context,N/A,UML; OCL,Class,General,CodeX,[Zero-shot; Few-shot],No,N/A,PlantUML,No,Validity[Syn; Correctness; False; Quant; obj]; Accuracy[Sem; Correctness; True; Quant; obj]; Cosine similarity[Sem; Correctness; True; Quant; obj],No,No,No,Open,No,https://zenodo.org/records/7749795,N/A,https://zenodo.org/records/7749795
Prompting or Fine-tuning? A Comparative Study of Large Language Models for Taxonomy Construction,2023,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,Taxonomy construction,Software Engineering Models and Methods,N/A,DSL,Taxonomy,General,GPT,Zero-shot; Few-shot+Self-Consistency,Fine-tuning,GPT,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj]; # of violations of consistency rules[Sem; Consistency; False; Quant; obj],No,No,Deep learning,Closed; Open,No,No,No,No
On the assessment of generative AI in modeling tasks: an experience report with ChatGPT and UML,2023,Software and Systems Modeling,Journal,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,UML; OCL,Class,General,GPT,Zero-shot+Iterative(Human),No,N/A,[PlantUML; the UML-based Specification Environment(USE)],Feedback-based refinement,No,No,No,No,Open,No,https://github.com/atenearesearchgroup/chatgpt-uml,N/A,https://github.com/atenearesearchgroup/chatgpt-uml
Experiment on Utilizing GPT-3.5 Language Model to Generate DSL of Data Management for Web Application Development using Qore-Base Platform,2023,International Conference on Data and Software Engineering,Conference,Proposed method,Model generation,Domain-specific modeling,Software Construction,Database construction,DSL,DSM,General,GPT,Few-shot,No,N/A,Qore-Base,No,% of correct outputs[Syn; Correctness; False; Quant; obj]; Alignment score[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Model-Driven Smart Contract Generation Leveraging ChatGPT,2023,International Conference on Systems Engineering,Conference,Proposed method,Model-based code generation,N/A,Software Construction,Coding,DSL,DSM,General,GPT,Zero-shot,No,N/A,No,No,No,Inference/generation time,No,Rule-based,Closed,No,No,N/A,No
Grammar Prompting for Domain-Specific Language Generation with Large Language Models,2023,Advances in Neural Information Processing Systems,Conference,Proposed method,Model generation,Domain-specific modeling,Software Engineering Models and Methods,N/A,DSL,DSM,General,[CodeX; GPT; PaLM],Few-shot+Grammar prompting,No,N/A,No,No,Accuracy[Syn; Correctness; True; Quant; obj]; Accuracy[Sem; Correctness; True; Quant; obj],No,API overhead,[LLM-based; Deep learning],Open,https://github.com/berlino/grammar-prompting,Appendix,N/A,https://github.com/berlino/grammar-prompting
Toward a Symbiotic Approach Leveraging Generative AI for Model Driven Engineering,2023,International Conference on Model Driven Engineering Languages and Systems,Conference,Proposed method,Model generation,Domain-specific modeling,Unspecified context,N/A,DSL,DSM,General,GPT,Zero-shot+Prompt Chaining,No,N/A,No,No,No,Total task duration,No,No,Closed,No,No,N/A,No
Towards using Few-Shot Prompt Learning for Automating Model Completion,2023,International Conference on Software Engineering: New Ideas and Emerging Results,Conference,New idea or vision,Model completion,N/A,Software Engineering Models and Methods,N/A,UML,Class,General,GPT,Few-shot,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj],No,No,No,Open,https://github.com/meriembenchaaben/model-completion,No,N/A,No
Neural Language Models and Few Shot Learning for Systematic Requirements Processing in MDSE,2022,ACM SIGPLAN International Conference on Software Language Engineering,Conference,Proposed method,Model generation,Domain-specific modeling,Software Requirements,Requirement Specification,DSL,DSM,Advanced Driver Assistance Systems (ADASs),GPT,Few-shot,No,N/A,No,No,# of correct outputs[Syn; Correctness; True; Quant; obj]; # of incorrect outputs[Syn; Correctness; True; Quant; obj]; # of correct models[Sem; Correctness; True; Quant; obj]; # of incorrect models[Sem; Correctness; True; Quant; obj],No,No,No,Open,No,No,N/A,No
Recommending metamodel concepts during modeling activities with pre-trained language models,2022,Software and Systems Modeling,Journal,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,Ecore,DSM,General,BERT,Zero-shot,Pre-training,BERT,Eclipse Modeling Framework,No,Recall@k[Sem; Correctness; True; Quant; obj]; MRR[Sem; Correctness; True; Quant; obj],No,No,No,Open,https://github.com/martin-wey/metamodel-concepts-bert,No,https://doi.org/10.5281/zenodo.5579980,https://doi.org/10.5281/zenodo.5579980
Preliminary Experiments with Transformer based Approaches To Automatically Inferring Domain Models from Textbooks,2022,International Conference on Educational Data Mining,Conference,Benchmarking and evaluation,Model element extraction,N/A,Unspecified context,N/A,Unspecified,Unspecified,General,BERT,Zero-shot,No,N/A,No,No,Precision@k[Sem; Correctness; True; Quant; obj]; Recall@k[Sem; Correctness; True; Quant; obj]; F-measure@k[Sem; Correctness; True; Quant; obj]; MMR (Maximal Marginal Relevance adjusted)[Sem; Correctness; True; Quant; obj]; NDCGp (Normalized Discounted Cumulative Gain at p)[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
MUCE: a multilingual use case model extractor using GPT-3,2022,International Journal of Information Technology,Journal,Proposed method,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case,General,GPT,Few-shot,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,[Rule-based; Traditional ML],Open,No,No,N/A,Appendix
SLGPT: Using transfer learning to directly generate simulink model files and find bugs in the simulink toolchain,2021,International Conference on Evaluation and Assessment in Software Engineering,Conference,New idea or vision,Model synthesis,N/A,Software Engineering Models and Methods,N/A,Simulink,Simulink,General,GPT,Unspecified,Fine-tuning,GPT,Simulink,No,# of specific elements[Sem; Complexity; False; Quant; obj],No,No,Deep learning,No,https://zenodo.org/records/4734223,No,No,No
Constructing Enterprise Digital Twins by Augmenting LLMs with MDE,2025,Innovations in Software Engineering Conference,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,Ecore,DSM,Enterprise Digital Twins,GPT,[Zero-shot+Chain-of-thought; Few-shot+Chain-of-thought],No,N/A,[Eclipse Modeling Framework; MOFM2T],Unspecified,# of correct elements[Sem; Correctness; True; Quant; obj]; # of missing elements[Sem; Completeness; True; Quant; obj]; # of relevant additional elements[Sem; Correctness; True; Quant; obj]; # of out-of-scope additional elements[Sem; Correctness; True; Quant; obj]; # of hallucinated elements[Sem; Hallucination; True; Quant; obj],No,No,No,Industrial - closed,No,No,N/A,No
Conversationally Actionable Process Model Creation,2025,International Conference on Cooperative Information Systems,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot+Iterative(Human),No,N/A,Mermaid.js,Feedback-based refinement,# of correct outputs[Syn; Correctness; False; Quant; obj]; # of correct models[Sem; Correctness; True; Quant; obj],No,No,No,Open,No,https://github.com/com-pot-93/campc/blob/main/prompt_engineering/prompts.txt,N/A,https://github.com/com-pot-93/campc/tree/main/pet_examples/process_descriptions
