Author,Title,Year,DOI,Link,Type,Venue,
Anbarasu S.; Hinkelman K.; Wang J.; Zuo W.,Exploring the effects of interdependencies on energy systems in smart communities: A multi-domain modeling and quasi-Monte Carlo sensitivity analysis,2024,10.1016/j.enbuild.2024.114510,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198719255&doi=10.1016%2fj.enbuild.2024.114510&partnerID=40&md5=35543996a8081503ab9aa875c9071d42,Article,Energy and Buildings,
"Olivares-Ferretti, Pamela; Maguregui, Ekaitz; Chavez, Viviana; Parodi, Jorge",Novel antioxidant additive ENTAN molecule for animal production: Evaluation at the cellular level,2024,10.1016/j.ejbt.2024.07.001,,J,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,
"Song, M. F.; Li, Y.; Yu, L.; Pun, E. . Y. B.; Lin, H.",Behaviour quantification of Sm3+in borotellurite glass phosphors for warm-colour illumination,2024,10.1016/j.ceramint.2024.07.410,,J,CERAMICS INTERNATIONAL,
Lavanya V.; Das A.; Nayak A.; Chawla Y.; Dasgupta S.; Weindorf D.C.; Li B.; Chakraborty S.,Digital soil mapping of available phosphorus using a smartphone-integrated RGB imaging device and ascorbic acid extraction method,2024,10.1016/j.atech.2024.100591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205926160&doi=10.1016%2fj.atech.2024.100591&partnerID=40&md5=2823a7db49a487938a00992333245b72,Article,Smart Agricultural Technology,
Mayandi Z.; Suharjito,"Palm oil-based biodiesel industry sustainability model using dynamic systems to balance food, energy, and export allocations",2024,10.1016/j.atech.2024.100421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186583719&doi=10.1016%2fj.atech.2024.100421&partnerID=40&md5=981c406d746215faf1321b23c372bbdb,Article,Smart Agricultural Technology,
Danyali S.; Shirkhani M.; Yousefi S.; Tavoosi J.; Moteiri L.; Salah M.; Shaker A.,Design PV-fed LED streetlight using Soft-Switching bidirectional DC-DC converter with optimal flux control,2024,10.1016/j.asej.2024.102844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194190856&doi=10.1016%2fj.asej.2024.102844&partnerID=40&md5=e9b5277d8eb06ff4c4ded0ac412eab9d,Article,Ain Shams Engineering Journal,
"Gargari, Omid Kohandel; Fatehi, Farhad; Mohammadi, Ida; Firouzabadi, Shahryar Rajai; Shafiee, Arman; Habibi, Gholamreza",Diagnostic accuracy of large language models in psychiatry,2024,10.1016/j.ajp.2024.104168,,J,ASIAN JOURNAL OF PSYCHIATRY,
"Tetteh, Michael; Li, Liangping; Davis, Arden",Leveraging deep learning with progressive growing GAN and ensemble smoother with multiple data assimilation for inverse modeling,2024,10.1016/j.advwatres.2024.104680,,J,ADVANCES IN WATER RESOURCES,
Lee W.; Shin M.J.; Kim S.; Lee C.E.; Choi J.; Koo H.-J.; Choi M.-J.; Kim J.H.; Kim K.,Injectable composite hydrogels embedded with gallium-based liquid metal particles for solid breast cancer treatment via chemo-photothermal combination,2024,10.1016/j.actbio.2024.04.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190737231&doi=10.1016%2fj.actbio.2024.04.011&partnerID=40&md5=0178ecb66b992eb510bbc164d0b4ef79,Article,Acta Biomaterialia,
Poonam KaushikKhushboo BansalYogesh KumarAnkur Changela,Mental Disorders Prognosis and Predictions Using Artificial Intelligence Techniques: a Comprehensive Study,2024,10.1007/s42979-024-03416-w,https://link.springer.com/article/10.1007/s42979-024-03416-w,Article,SN Computer Science,
Preethika Ajay KumarNandana ManojNeeraj SudheerPranamya P. BhatArti AryaRicha Sharma,UAV Swarm Objectives: A Critical Analysis and Comprehensive Review,2024,10.1007/s42979-024-03156-x,https://link.springer.com/article/10.1007/s42979-024-03156-x,Article,SN Computer Science,
Gaurav ParasharAlka ChaudharyDilkeshwar Pandey,Machine Learning for Prediction of Cardiovascular Disease and Respiratory Disease: A Review,2024,10.1007/s42979-023-02529-y,https://link.springer.com/article/10.1007/s42979-023-02529-y,Article,SN Computer Science,
Khasawneh M.A.; Mewada H.; Nayeemuddin M.; Rababah S.; Khasawneh A.A.,Integrating Soil Index Parameters and Machine Learning for Reliable California Bearing Ratio Estimation using a GA-ELM Model,2024,10.1007/s42947-024-00489-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209693350&doi=10.1007%2fs42947-024-00489-x&partnerID=40&md5=801c9d6b362c1e46980ed5bce5229816,Article,International Journal of Pavement Research and Technology,
Billel ArbaouiSuttisak Jantavongso,Enhancing deep learning for workplace self-confidence: integrating the all-or-none law in neural networks,2024,10.1007/s41870-024-02298-8,https://link.springer.com/article/10.1007/s41870-024-02298-8,Article,International Journal of Information Technology,
Issam Trrad,Developing a photovoltaic energy generation forecast system using neural networks,2024,10.1007/s41870-024-02249-3,https://link.springer.com/article/10.1007/s41870-024-02249-3,Article,International Journal of Information Technology,
Anita Diliprao GawaliBaisa Laxman Gunjal,Designing algorithm for context based analysis using deep learning (CNN+ RNN) with image dataset,2024,10.1007/s41870-024-02081-9,https://link.springer.com/article/10.1007/s41870-024-02081-9,Article,International Journal of Information Technology,
Nawal Sad-HouariDjamila BenhaddoucheMarwa AliouaChaimaa Bachiri,From Detection to Empowerment: Integrating a context-aware coping strategies recommendations tool into an automatic depression detection system in social networks,2024,10.1007/s41870-024-02003-9,https://link.springer.com/article/10.1007/s41870-024-02003-9,Article,International Journal of Information Technology,
Zhen LuImran AfridiHong Jin KangIvan RuchkinXi Zheng,Surveying neuro-symbolic approaches for reliable artificial intelligence of things,2024,10.1007/s40860-024-00231-1,https://link.springer.com/article/10.1007/s40860-024-00231-1,Article,Journal of Reliable Intelligent Environments,
Francesco SovranoKevin AshleyPeter Leonid BrusilovskyFabio Vitali,How to Improve the Explanatory Power of an Intelligent Textbook: a Case Study in Legal Writing,2024,10.1007/s40593-024-00399-w,https://link.springer.com/article/10.1007/s40593-024-00399-w,Article,International Journal of Artificial Intelligence in Education,
Timotheus KampikChristian WarmuthAdrian RebmannRon AgamLukas N. P. EggerAndreas GerberJohannes HoffartJonas KolkPhilipp HerzigGero DeckerHan van der AaArtem PolyvyanyyStefanie Rinderle-MaIngo WeberMatthias Weidlich,Large Process Models: A Vision for Business Process Management in the Age of Generative AI,2024,10.1007/s13218-024-00863-8,https://link.springer.com/article/10.1007/s13218-024-00863-8,Article,KI - K??nstliche Intelligenz,
Roberto BoselliSimone Da??AmicoNavid Nobani,eXplainable AI for Word Embeddings: A Survey,2024,10.1007/s12559-024-10373-2,https://link.springer.com/article/10.1007/s12559-024-10373-2,Article,Cognitive Computation,
Abhisek TiwariSwarna SSriparna SahaPushpak BhattacharyyaMinakshi DharSarbajeet Tiwari,Learning from Failure: Towards Developing a Disease Diagnosis Assistant That Also Learns from Unsuccessful Diagnoses,2024,10.1007/s12559-024-10274-4,https://link.springer.com/article/10.1007/s12559-024-10274-4,Article,Cognitive Computation,
Lei GuanDong-Sheng LiJi-Ye LiangWen-Jian WangKe-Shi GeXi-Cheng Lu,Advances of Pipeline Model Parallelism for Deep Learning Training: An Overview,2024,10.1007/s11390-024-3872-3,https://link.springer.com/article/10.1007/s11390-024-3872-3,Article,Journal of Computer Science and Technology,
Songhui Yue,A Multimodal conceptual framework to achieve automated software evolution for context-rich intelligent applications,2024,10.1007/s11334-024-00591-0,https://link.springer.com/article/10.1007/s11334-024-00591-0,Article,Innovations in Systems and Software Engineering,
Saheed PopoolaXin ZhaoJeff GrayAntonio Garcia-Dominguez,Classifying changes to LabVIEW and simulink models via changeset metrics,2024,10.1007/s11334-024-00577-y,https://link.springer.com/article/10.1007/s11334-024-00577-y,Article,Innovations in Systems and Software Engineering,
Kevin LanoHoward HaughtonZiwen YuanHessa Alfraihi,Agile model-driven re-engineering,2024,10.1007/s11334-024-00568-z,https://link.springer.com/article/10.1007/s11334-024-00568-z,Article,Innovations in Systems and Software Engineering,
Prabhsimran SinghYounes BoubekeurGunter Mussbacher,Detecting mistakes in a domain model: a comparison of three approaches,2024,10.1007/s11334-024-00566-1,https://link.springer.com/article/10.1007/s11334-024-00566-1,Article,Innovations in Systems and Software Engineering,
Pakkala P.G.R.; Rai B.S.,System Modeling for Prognostic Reasoning and Insight Exploration of Arecanut Crop Using Data Analytics and Formal Statistical Approach,2024,10.1007/s11277-024-11407-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197403405&doi=10.1007%2fs11277-024-11407-6&partnerID=40&md5=906a1896b9bc4e2a09cd1119ca3ef147,Article,Wireless Personal Communications,
Chuan-Xian RenYiming ZhaiYou-Wei LuoHong Yan,Towards Unsupervised Domain Adaptation via Domain-Transformer,2024,10.1007/s11263-024-02174-9,https://link.springer.com/article/10.1007/s11263-024-02174-9,Article,International Journal of Computer Vision,
Oriane Sim??oni??loi ZablockiSpyros GidarisGilles PuyPatrick P??rez,Unsupervised Object Localization in the Era of Self-Supervised ViTs: A Survey,2024,10.1007/s11263-024-02167-8,https://link.springer.com/article/10.1007/s11263-024-02167-8,Article,International Journal of Computer Vision,
Mohammed M.A.; Alshayeb M.; Hassine J.,A rule-based approach for the identification of quality improvement opportunities in GRL models,2024,10.1007/s11219-024-09679-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195291681&doi=10.1007%2fs11219-024-09679-z&partnerID=40&md5=bcdc82537c8a7f643ea0373ebdf74555,Article,Software Quality Journal,
Zhenzhou TianFanfan WangYanping ChenLingwei Chen,Differential testing solidity compiler through deep contract manipulation and mutation,2024,10.1007/s11219-024-09673-5,https://link.springer.com/article/10.1007/s11219-024-09673-5,Article,Software Quality Journal,
Mattia FumagalliRoberta FerrarioGiancarlo Guizzardi,A Teleological Approach to Information Systems Design,2024,10.1007/s11023-024-09673-1,https://link.springer.com/article/10.1007/s11023-024-09673-1,Article,Minds and Machines,
Binhong LiuDexin YaoRui YangZhi YanTao Yang,Semi-Supervised Online Continual Learning for 3D Object Detection in Mobile Robotics,2024,10.1007/s10846-024-02178-0,https://link.springer.com/article/10.1007/s10846-024-02178-0,Article,Journal of Intelligent & Robotic Systems,
Marvin ZagerChristoph SieberAlexander Fay,Towards Semantic Interoperability: An Information Model for Autonomous Mobile Robots,2024,10.1007/s10846-024-02159-3,https://link.springer.com/article/10.1007/s10846-024-02159-3,Article,Journal of Intelligent & Robotic Systems,
Bozyigit F.; Bardakci T.; Khalilipour A.; Challenger M.; Ramackers G.; Babur ?.; Chaudron M.R.V.,Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,2024,10.1007/s10270-024-01176-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192837407&doi=10.1007%2fs10270-024-01176-y&partnerID=40&md5=05083072b9bb803d8276a3f8ed35b8de,Article,Software and Systems Modeling,
Syauki Aulia ThamrinEva E. ChenArbee L. P. Chen,Detecting bipolar disorder on social media by post grouping and interpretable deep learning,2024,10.1007/s10844-024-00884-7,https://link.springer.com/article/10.1007/s10844-024-00884-7,Article,Journal of Intelligent Information Systems,
Serhat Hakki AkdagNihan Kesim Cicekli,Early detection of fake news on emerging topics through weak supervision,2024,10.1007/s10844-024-00852-1,https://link.springer.com/article/10.1007/s10844-024-00852-1,Article,Journal of Intelligent Information Systems,
Sungmin KangBei ChenShin YooJian-Guang Lou,Explainable automated debugging via large language model-driven scientific debugging,2024,10.1007/s10664-024-10594-x,https://link.springer.com/article/10.1007/s10664-024-10594-x,Article,Empirical Software Engineering,
Chao TanRazieh BehjatiErik Arisholm,"Application of deep learning models to generate rich, dynamic and production-like test data",2024,10.1007/s10664-024-10541-w,https://link.springer.com/article/10.1007/s10664-024-10541-w,Article,Empirical Software Engineering,
Wenxin JiangVishnu BannaNaveen VivekAbhinav GoelNicholas SynovicGeorge K. ThiruvathukalJames C. Davis,Challenges and practices of deep learning model reengineering: A case study on computer vision,2024,10.1007/s10664-024-10521-0,https://link.springer.com/article/10.1007/s10664-024-10521-0,Article,Empirical Software Engineering,
Halimeh AghAidin AzamnouriStefan Wagner,Software product line testing: a systematic literature review,2024,10.1007/s10664-024-10516-x,https://link.springer.com/article/10.1007/s10664-024-10516-x,Article,Empirical Software Engineering,
Musengamana Jean??de??DieuPeng LiangMojtaba ShahinChen YangZengyang Li,Mining architectural information: A systematic mapping study,2024,10.1007/s10664-024-10480-6,https://link.springer.com/article/10.1007/s10664-024-10480-6,Article,Empirical Software Engineering,
Mohamed Amine BatounMohammed SayaghRoozbeh AghiliAli OuniHeng Li,A literature review and existing challenges on software logging practices,2024,10.1007/s10664-024-10452-w,https://link.springer.com/article/10.1007/s10664-024-10452-w,Article,Empirical Software Engineering,
Dietmar WinklerPirmin UrbankeRudolf Ramler,Investigating the readability of test code,2024,10.1007/s10664-023-10390-z,https://link.springer.com/article/10.1007/s10664-023-10390-z,Article,Empirical Software Engineering,
Hassan SartajAsmar MuqeetMuhammad Zohaib IqbalMuhammad Uzair Khan,Automated system-level testing of unmanned aerial systems,2024,10.1007/s10515-024-00462-9,https://link.springer.com/article/10.1007/s10515-024-00462-9,Article,Automated Software Engineering,
Maryam Nooraei Abadeh,Knowledge-enhanced software refinement: leveraging reinforcement learning for search-based quality engineering,2024,10.1007/s10515-024-00456-7,https://link.springer.com/article/10.1007/s10515-024-00456-7,Article,Automated Software Engineering,
Yishu LiJacky KeungZhen YangXiaoxue MaJingyu ZhangShuo Liu,SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,2024,10.1007/s10515-024-00448-7,https://link.springer.com/article/10.1007/s10515-024-00448-7,Article,Automated Software Engineering,
Tarik HouichimeYounes El??Amrani,Optimized design refactoring (ODR): a generic framework for automated search-based refactoring to optimize object-oriented software architectures,2024,10.1007/s10515-024-00446-9,https://link.springer.com/article/10.1007/s10515-024-00446-9,Article,Automated Software Engineering,
Haochen ZouYongli Wang,A novel automated framework for fine-grained sentiment analysis of application reviews using deep neural networks,2024,10.1007/s10515-024-00444-x,https://link.springer.com/article/10.1007/s10515-024-00444-x,Article,Automated Software Engineering,
Aritra Sarkar,Automated quantum software engineering,2024,10.1007/s10515-024-00436-x,https://link.springer.com/article/10.1007/s10515-024-00436-x,Article,Automated Software Engineering,
Kevin LanoHanan Siala,Using model-driven engineering to automate software language translation,2024,10.1007/s10515-024-00419-y,https://link.springer.com/article/10.1007/s10515-024-00419-y,Article,Automated Software Engineering,
Maryam Asgari AraghiVahid RafeFerhat Khendek,Using data mining techniques to generate test cases from graph transformation systems specifications,2024,10.1007/s10515-024-00417-0,https://link.springer.com/article/10.1007/s10515-024-00417-0,Article,Automated Software Engineering,
Sascha SchweitzerMarkus Conrads,The digital transformation of jurisprudence: an evaluation of ChatGPT-4's applicability to solve cases in business law,2024,10.1007/s10506-024-09406-w,https://link.springer.com/article/10.1007/s10506-024-09406-w,Article,Artificial Intelligence and Law,
Mart¨ªnez E.,Re-evaluating GPT-4¡¯s bar exam performance,2024,10.1007/s10506-024-09396-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188989228&doi=10.1007%2fs10506-024-09396-9&partnerID=40&md5=3fbd42ec1200ce6e250e24ee43fff5af,Article,Artificial Intelligence and Law,
"Yohana, Mpwaga Alatwinusa; Ray, Gyan Watson; Qihui, Yang; Shiyu, Kou; Tan, Beiping; Wu, Jiahua; Mao, Minling; Ge, Zhan bo; Feng, Lan","Response of gut microbiota, antioxidation, and disease resistance to Pacific shrimp fed distiller's dried grains with solubles replaced soybean meal",2024,10.1007/s10499-024-01529-w,,J,AQUACULTURE INTERNATIONAL,
"Feng, Huawei; Zhao, Shan; Ma, Xiangming; Zhang, Yuying; Zhang, Man; Zeng, Yingyue; Zhao, Jian; Liu, Zhikui; Liu, Hongsheng","Effects of dietary supplementation of gallic tanninc acid on growth, intestinal digestive enzymes activity, innate immunity, morphology, and microbial composition of Cyprinus carpio",2024,10.1007/s10499-023-01352-9,,J,AQUACULTURE INTERNATIONAL,
Ahmed Dawod Mohammed IbrahumManzoor HussainJang-Eui Hong,Deep learning adversarial attacks and defenses in autonomous vehicles: a systematic literature review from a safety perspective,2024,10.1007/s10462-024-11014-8,https://link.springer.com/article/10.1007/s10462-024-11014-8,Article,Artificial Intelligence Review,
Hisashi KashimaSatoshi OyamaHiromi AraiJunichiro Mori,Trustworthy human computation: a survey,2024,10.1007/s10462-024-10974-1,https://link.springer.com/article/10.1007/s10462-024-10974-1,Article,Artificial Intelligence Review,
Younas KhanDavid S??nchezJosep Domingo-Ferrer,Federated learning-based natural language processing: a systematic literature review,2024,10.1007/s10462-024-10970-5,https://link.springer.com/article/10.1007/s10462-024-10970-5,Article,Artificial Intelligence Review,
Ishfaq Hussain RatherSushil KumarAmir H. Gandomi,Breaking the data barrier: a review of deep learning techniques for democratizing AI with small datasets,2024,10.1007/s10462-024-10859-3,https://link.springer.com/article/10.1007/s10462-024-10859-3,Article,Artificial Intelligence Review,
Tengfei TuHua ZhangBei GongDaizhong DuQiaoyan Wen,Intelligent analysis of android application privacy policy and permission consistency,2024,10.1007/s10462-024-10798-z,https://link.springer.com/article/10.1007/s10462-024-10798-z,Article,Artificial Intelligence Review,
Bilal HassanHina RajaTaimur HassanMuhammad Usman AkramHira RajaAlaa A. Abd-alrazaqSiamak YousefiNaoufel Werghi,A comprehensive review of artificial intelligence models for screening major retinal diseases,2024,10.1007/s10462-024-10736-z,https://link.springer.com/article/10.1007/s10462-024-10736-z,Article,Artificial Intelligence Review,
Jackeline ValenciaGeraldine Garc?-a PinedaVanessa Garc?-a PinedaAlejandro Valencia-AriasJuan Arcila-DiazRenata Teodori de la Puente,Using machine learning to predict artistic styles: an analysis of trends and the research agenda,2024,10.1007/s10462-024-10727-0,https://link.springer.com/article/10.1007/s10462-024-10727-0,Article,Artificial Intelligence Review,
Priyadarsini SamalMohammad Farukh Hashmi,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,2024,10.1007/s10462-023-10690-2,https://link.springer.com/article/10.1007/s10462-023-10690-2,Article,Artificial Intelligence Review,
Simon WiegrebePhilipp KopperRaphael SonabendBernd BischlAndreas Bender,Deep learning for survival analysis: a review,2024,10.1007/s10462-023-10681-3,https://link.springer.com/article/10.1007/s10462-023-10681-3,Article,Artificial Intelligence Review,
L¨®pez J.A.H.; Dur¨¢ C.; Cuadrado J.S.,Experimenting with modeling-specific word embeddings,2024,10.1007/s10270-024-01250-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212045326&doi=10.1007%2fs10270-024-01250-5&partnerID=40&md5=7bc4b4f109fff2080bc08cb89b2e223f,Article,Software and Systems Modeling,
Kevin LanoShekoufeh RahimiSobhan TehraniLola Burgue?¡ÀoMohammad Aminu Umar,Introduction to theme section on requirements formalisation,2024,10.1007/s10270-024-01241-6,https://link.springer.com/article/10.1007/s10270-024-01241-6,Article,Software and Systems Modeling,
Dolha D.N.; Buchmann R.A.,Generative AI for BPMN Process Analysis: Experiments with Multi-modal Process Representations,2024,10.1007/978-3-031-71333-0_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204599808&doi=10.1007%2f978-3-031-71333-0_2&partnerID=40&md5=9928fd2ce4e6550e9927bdaad2bb84ce,Conference paper,Lecture Notes in Business Information Processing,
Maria Stella de??BiaseSimona BernardiStefano MarroneJos?? MerseguerAngelo Palladino,Completion of SysML state machines from Given¨CWhen¨CThen requirements,2024,10.1007/s10270-024-01228-3,https://link.springer.com/article/10.1007/s10270-024-01228-3,Article,Software and Systems Modeling,
Ioannis KorontanisAntonios MakrisKonstantinos Tserpes,Ceaml: A novel modeling language for enabling cloud and edge continuum orchestration,2024,10.1007/s10270-024-01222-9,https://link.springer.com/article/10.1007/s10270-024-01222-9,Article,Software and Systems Modeling,
Roman LukyanenkoBinny M. SamuelJeffrey ParsonsVeda C. StoreyOscar PastorAraz Jabbari,"Universal conceptual modeling: principles, benefits, and an agenda for conceptual modeling research",2024,10.1007/s10270-024-01207-8,https://link.springer.com/article/10.1007/s10270-024-01207-8,Article,Software and Systems Modeling,
Clara ZicheGiovanni Apruzzese,LLM4PM: A Case Study on Using Large Language Models for Process Modeling in Enterprise Organizations,2024,10.1007/978-3-031-70445-1_35,https://link.springer.com/chapter/10.1007/978-3-031-70445-1_35,Conference paper,"Business Process Management: Blockchain, Robotic Process Automation, Central and Eastern European, Educators and Industry Forum",
Tarek SkoutiRonny SeigerFrank J. FurrerSusanne Strahringer,RBPMN: the value of roles for business process modeling,2024,10.1007/s10270-024-01202-z,https://link.springer.com/article/10.1007/s10270-024-01202-z,Article,Software and Systems Modeling,
Hendrik G??ttmannBirte CaesarLasse BeersMalte LochauAndy Sch??rrAlexander Fay,Cost-sensitive precomputation of real-time-aware reconfiguration strategies based on stochastic priced timed games,2024,10.1007/s10270-024-01195-9,https://link.springer.com/article/10.1007/s10270-024-01195-9,Article,Software and Systems Modeling,
J??rg HoltmannJennifer HorkoffRebekka WohlrabVictoria VuRashidah KasauliSalome MaroJan-Philipp Stegh??ferEric Knauss,Using boundary objects and methodological island (BOMI) modeling in large-scale agile systems development,2024,10.1007/s10270-024-01193-x,https://link.springer.com/article/10.1007/s10270-024-01193-x,Article,Software and Systems Modeling,
Benoit CombemaleJeff GrayBernhard Rumpe,"Model modularity for reuse, libraries and composition: symbol management is key",2024,10.1007/s10270-024-01190-0,https://link.springer.com/article/10.1007/s10270-024-01190-0,Article,Software and Systems Modeling,
Jos?? Antonio Hern??ndez L?3pezJes?os S??nchez CuadradoRiccardo RubeiDavide Di Ruscio,ModelXGlue: a benchmarking framework for ML tools in MDE,2024,10.1007/s10270-024-01183-z,https://link.springer.com/article/10.1007/s10270-024-01183-z,Article,Software and Systems Modeling,
Jonas SchnepfTu??ranur EnginSimon AndererBernd Scheuermann,Studies on the Use of Large Language Models for the Automation of Business Processes in Enterprise Resource Planning Systems,2024,10.1007/978-3-031-70239-6_2,https://link.springer.com/chapter/10.1007/978-3-031-70239-6_2,Conference paper,Natural Language Processing and Information Systems,
Xiao HeYi LiuHuihong He,Accelerating similarity-based model matching using dual hashing,2024,10.1007/s10270-024-01173-1,https://link.springer.com/article/10.1007/s10270-024-01173-1,Article,Software and Systems Modeling,
Marien R. KrouwelMartin Op??a??t??LandHenderik A. Proper,From enterprise models to low-code applications: mapping DEMO to Mendix; illustrated in the social housing domain,2024,10.1007/s10270-024-01156-2,https://link.springer.com/article/10.1007/s10270-024-01156-2,Article,Software and Systems Modeling,
Thuy NguyenImen SayarSophie EbersoldJean-Michel Bruel,"Identifying and fixing ambiguities in, and semantically accurate formalisation of, behavioural requirements",2024,10.1007/s10270-023-01142-0,https://link.springer.com/article/10.1007/s10270-023-01142-0,Article,Software and Systems Modeling,
Paolo ArcainiSilvia BonfantiAngelo GargantiniElvinia RiccobenePatrizia Scandurra,A journey with ASMETA from requirements to code: application to an automotive system with adaptive features,2024,10.1007/s10009-024-00751-4,https://link.springer.com/article/10.1007/s10009-024-00751-4,Article,International Journal on Software Tools for Technology Transfer,
Umm-e- HabibaMarkus HaugJustus BognerStefan Wagner,"How mature is requirements engineering for AI-based systems? A systematic mapping study on practices, challenges, and future research directions",2024,10.1007/s00766-024-00432-3,https://link.springer.com/article/10.1007/s00766-024-00432-3,Article,Requirements Engineering,
Dipeeka LuitelShabnam HassaniMehrdad Sabetzadeh,Improving requirements completeness: automated assistance through large language models,2024,10.1007/s00766-024-00416-3,https://link.springer.com/article/10.1007/s00766-024-00416-3,Article,Requirements Engineering,
Hans-Martin HeynEric KnaussIswarya MalleswaranShruthi Dinakaran,An empirical investigation of challenges of specifying training data and runtime monitors for critical software with machine learning and their relation to architectural decisions,2024,10.1007/s00766-024-00415-4,https://link.springer.com/article/10.1007/s00766-024-00415-4,Article,Requirements Engineering,
Nadeen AlAmoudiJameleddine HassineMalak Baslyman,GRLMerger: an automatic approach for integrating GRL models,2024,10.1007/s00766-024-00413-6,https://link.springer.com/article/10.1007/s00766-024-00413-6,Article,Requirements Engineering,
Bikram Pratim BhuyanT. P. SinghRavi TomarYassine MeraihiAmar Ramdane-Cherif,A Monadic Second-Order Temporal Logic framework for hypergraphs,2024,10.1007/s00521-024-10365-1,https://link.springer.com/article/10.1007/s00521-024-10365-1,Article,Neural Computing and Applications,
Sidike PahedingAshraf SaleemMohammad Faridul Haque SiddiquiNathir RawashdehAlmabrok EssaAbel A. Reyes,Advancing horizons in remote sensing: a comprehensive survey of deep learning models and applications in image classification and beyond,2024,10.1007/s00521-024-10165-7,https://link.springer.com/article/10.1007/s00521-024-10165-7,Article,Neural Computing and Applications,
Hanwei Ding,Establishing a soil carbon flux monitoring system based on support vector machine and XGBoost,2024,10.1007/s00500-024-09641-y,https://link.springer.com/article/10.1007/s00500-024-09641-y,Article,Soft Computing,
Srilakshmi K.; Rao G.S.; Swarnasri K.; Inkollu S.R.; Kondreddi K.; Balachandran P.K.; Colak I.,Optimization of ANFIS controller for solar/battery sources fed UPQC using an hybrid algorithm,2024,10.1007/s00202-023-02185-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181492012&doi=10.1007%2fs00202-023-02185-8&partnerID=40&md5=0fa8480081b366fc56e4da24f4ac033d,Article,Electrical Engineering,
Guzyal HillMatthew WaddingtonLeon Qiu,From pen to algorithm: optimizing legislation for the future with artificial intelligence,2024,10.1007/s00146-024-02062-3,https://link.springer.com/article/10.1007/s00146-024-02062-3,Article,AI & SOCIETY,
Kundala P.K.Y.; Mangaraj M.; Sudabattula S.K.; Sabat J.; Thakur R.,DBSCAN-Based Cascaded Inductively Coupled DSTATCOM for PQ Improvement,2024,10.1007/978-981-99-9439-7_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189526522&doi=10.1007%2f978-981-99-9439-7_12&partnerID=40&md5=5481dcad2f3c9f638ab09f3d37fddb0f,Conference paper,Lecture Notes in Electrical Engineering,
Mashitah Che RazaliNorhaliza Abdul WahabNoorhazirah SunarNur Hazahsha ShamsudinMuhammad Sani GayaAzavitra Zainal,NARXNN Modeling of Ultrafiltration Process for Drinking Water Treatment,2024,10.1007/978-981-99-7240-1_20,https://link.springer.com/chapter/10.1007/978-981-99-7240-1_20,Conference paper,Methods and Applications for Modeling and Simulation of Complex Systems,
Boehm H.-D.V.; Liesenberg V.,Appraisal of LiDAR Measurements for Monitoring Tropical Peatlands,2024,10.1007/978-981-99-6790-2_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002518375&doi=10.1007%2f978-981-99-6790-2_11&partnerID=40&md5=6e20b7272e81e4d9cb08234561b103bc,Book chapter,Tropical Peatland Eco-evaluation,
Muralidharan JayaramanP. Shanmugavadivu,Cardiovascular Disease Detection Using Intelligent Systems: A Cursory Survey,2024,10.1007/978-981-97-7616-0_30,https://link.springer.com/chapter/10.1007/978-981-97-7616-0_30,Conference paper,Proceedings of the First International Conference on Data Engineering and Machine Intelligence,
I. SajithaRakoth Kandan SambandamSaju P. John,A Comprehensive Review of Small Building Detection in Collapsed Images: Advancements and Applications of Machine Learning Algorithms,2024,10.1007/978-981-97-7423-4_33,https://link.springer.com/chapter/10.1007/978-981-97-7423-4_33,Conference paper,Proceedings of International Conference on Communication and Computational Technologies,
Yanjie LuoLin LiXiaohua WuXiaohui Tao,Differential Privacy with Data Removal for Online Happiness Assessment,2024,10.1007/978-981-97-7241-4_11,https://link.springer.com/chapter/10.1007/978-981-97-7241-4_11,Conference paper,Web and Big Data,
Zhang W.; Liu H.; Dong Z.; Du Y.; Zhu C.; Song Y.; Zhu H.; Wu Z.,Bridging the?Information Gap Between Domain-Specific Model and?General LLM for?Personalized Recommendation,2024,10.1007/978-981-97-7232-2_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203182296&doi=10.1007%2f978-981-97-7232-2_19&partnerID=40&md5=8544b8d151dcceb804f3a514ab1889d2,Conference paper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),
